fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,05,BIHAR,0550,JAMUI,1092882,466.462768731153,14,1,0,1060,42,19650,21555,1160,71261,282,16972,0,100.5460498,1469,1649,237009,315882,0,447786,610715,20710,100.5460498,13190,62,25.28,27.94,100,NA
2025-2026,April,05,BIHAR,0501,PATNA,768709,541.461665697698,11,10,0,1034,40,25280,125563,13634,41076,351,1101,0,679.875511300001,10536,10867,200775,222799,0,711133,783454,26314,679.875511300001,69261,50,39.56,60.72,100,NA
2025-2026,April,05,BIHAR,0504,ROHTAS,903800,313.862128201443,12,23,0,672,24,18050,222634,43155,63601,1607,4690,0,698.7638105,17667,18861,191158,237638,0,451283,568006,18722,698.7638105,99889,39,56.8,74.66,100,NA
2025-2026,April,05,BIHAR,0506,JEHANABAD,828908,240.240199200625,16,30,0.02065,532,12,7594,108835,37563,40703,347,1009,0,261.4860708,6435,7531,96284,129267,0,221885,298436,8126,261.4654208,57952,50,24.84,78.55,100,NA
2025-2026,April,05,BIHAR,0508,NAWADA,1083462,486.8951771602,11,101,0,820,11,24187,148933,40198,90752,663,2803,0,725.1475942,12544,12801,288820,303103,0,648271,676656,25007,725.1475942,87692,53,39.83,55.51,100,NA
2025-2026,April,05,BIHAR,0511,GOPALGANJ,600651,378.994785398924,12,9,0,683,12,16459,124347,16537,20429,4826,6012,0,471.2686458,9709,10098,116031,138394,0,324884,381460,17142,471.2686458,68717,37,40.37,54.79,100,NA
2025-2026,April,05,BIHAR,0513,PURBI CHAMPARAN,1594450,480.784049202036,10,28,0,2511,33,52673,288484,38228,92927,3011,9055,0,1386.9850565,26230,27224,423351,514580,0,1170364,1483381,55184,1386.9850565,183271,60,30.88,33.59,100,NA
2025-2026,April,05,BIHAR,0524,KATIHAR,1096498,435.829705568582,14,22,0,702,20,34412,184661,23553,50044,8596,18705,0,804.8074926,12540,14284,298206,383068,0,667132,892249,35114,804.8074926,114745,76,52.98,62.74,100,NA
2025-2026,April,05,BIHAR,0510,SIWAN,711551,295.841884382535,13,44,0,1058,14,26470,308552,44139,34524,21851,12600,0.00325,912.8293011,23213,23566,166312,181619,0,456460,534643,27528,912.8260511,200700,81,37.73,50.1,100,NA
2025-2026,April,05,BIHAR,0513,PURBI CHAMPARAN,1594450,389.611947229427,12,41,0,2925,25,54181,507783,70596,93175,6197,9069,0,1978.383234,40738,42475,425232,517014,0,1182880,1500723,57106,1978.383234,316006,61,34.05,39.86,100.01,NA
